station_id,year,month,temperature,country_code,country_name,latitude,longitude,name
ARM00087506,1975,12,20.98,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1976,1,21.15,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1976,2,18.32,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1976,3,14.35,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1976,4,11.02,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1976,5,6.57,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1976,6,4.43,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1976,7,4.68,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1976,8,4.83,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1976,9,6.91,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1976,10,11.49,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1976,11,16.63,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1976,12,19.28,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1977,1,19.86,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1977,2,18.46,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1977,3,17.06,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1977,4,14.27,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1977,5,7.65,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1979,12,17.14,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1980,1,21.03,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1980,2,18.89,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1980,4,10.82,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1980,5,9.07,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1980,6,4.7,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1980,7,4.5,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1980,8,7.42,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1980,9,9.58,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1980,10,12.21,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1980,11,15.1,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1980,12,19.94,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1981,1,19.47,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1981,2,19.95,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1981,3,17.57,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1981,4,13.14,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1981,5,9.57,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1981,6,5.95,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1981,7,4.85,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1981,8,7.16,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1981,9,8.28,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1981,10,11.34,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1981,11,15.58,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1981,12,19.08,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1982,1,20.14,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1982,2,18.02,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1982,3,16.3,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1982,4,13.72,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1982,5,9.25,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1982,8,6.54,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1982,9,9.34,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1982,10,12.74,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1982,11,15.72,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1982,12,19.72,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1983,1,19.3,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1983,2,18.23,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1983,3,17.06,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1983,4,12.42,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1983,5,7.04,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1983,6,0.46,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1983,7,2.93,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1983,8,4.69,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1983,9,7.49,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1983,10,13.76,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1985,3,16.26,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1985,4,11.74,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1985,5,9.22,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1985,6,6.4,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1985,7,4.1,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1985,8,6.43,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1985,9,9.61,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1985,10,11.91,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1985,11,16.52,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1985,12,19.38,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1986,1,20.57,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1986,2,18.91,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1986,3,15.62,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1986,4,11.2,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1986,5,8.32,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1986,6,4.94,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1986,7,5.57,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1986,8,6.86,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1986,9,8.31,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1986,10,13.67,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1986,11,14.88,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1986,12,19.8,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1987,1,20.66,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1987,2,20.42,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1987,3,16.94,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1987,4,12.66,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1987,5,5.14,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1987,6,6.92,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1987,7,5.2,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1987,8,4.84,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1987,9,8.47,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1987,10,13.66,AR,Argentina,-35.494,-69.574,MALARGUE
